genres,acousticness,danceability,energy,instrumentalness,loudness,speechiness,valence,popularity
Pop,5.0,4.0,1.0,2.0,4.0,2.0,4.0,1.0
Pop,4.0,3.0,3.0,1.0,5.0,1.0,2.0,3.0
Pop,3.0,3.0,2.0,1.0,4.0,1.0,3.0,3.0
Pop,4.0,4.0,3.0,2.0,4.0,1.0,4.0,1.0
Pop,1.0,3.0,4.0,1.0,5.0,1.0,1.0,4.0
Pop,1.0,4.0,4.0,1.0,5.0,1.0,2.0,3.0
Pop,2.0,4.0,3.0,1.0,4.0,1.0,4.0,3.0
Pop,2.0,5.0,4.0,1.0,4.0,1.0,5.0,3.0
Pop,4.0,3.0,2.0,1.0,4.0,1.0,1.0,3.0
Pop,2.0,4.0,5.0,1.0,5.0,1.0,4.0,3.0
Pop,4.0,3.0,3.0,1.0,5.0,1.0,3.0,3.0
Pop,3.0,4.0,4.0,1.0,5.0,1.0,4.0,3.0
Pop,3.0,4.0,4.0,1.0,5.0,1.0,4.0,1.0
Pop,1.0,3.0,4.0,1.0,4.0,1.0,2.0,3.0
Pop,1.0,3.0,5.0,1.0,5.0,1.0,4.0,2.0
Pop,3.0,3.0,3.0,2.0,4.0,1.0,3.0,2.0
Pop,3.0,4.0,4.0,1.0,5.0,1.0,5.0,3.0
Pop,2.0,4.0,3.0,1.0,5.0,1.0,2.0,4.0
Pop,1.0,4.0,4.0,1.0,4.0,1.0,5.0,2.0
Pop,1.0,3.0,3.0,5.0,4.0,1.0,3.0,3.0
Pop,2.0,4.0,4.0,2.0,5.0,1.0,3.0,3.0
Pop,1.0,4.0,4.0,2.0,5.0,1.0,3.0,4.0
Pop,5.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0
Pop,5.0,4.0,2.0,1.0,4.0,1.0,5.0,1.0
Pop,1.0,4.0,3.0,1.0,4.0,1.0,2.0,1.0
Pop,2.0,3.0,4.0,2.0,4.0,1.0,4.0,2.0
Pop,2.0,4.0,3.0,1.0,4.0,1.0,4.0,2.0
Pop,5.0,3.0,2.0,1.0,4.0,2.0,4.0,1.0
Pop,4.0,3.0,3.0,1.0,4.0,1.0,4.0,1.0
Pop,2.0,3.0,3.0,1.0,5.0,1.0,3.0,3.0
Rap/Trap,1.0,5.0,3.0,1.0,5.0,2.0,3.0,2.0
Rap/Trap,2.0,4.0,3.0,1.0,4.0,1.0,2.0,4.0
Rap/Trap,2.0,4.0,3.0,1.0,4.0,2.0,3.0,4.0
Rap/Trap,2.0,4.0,3.0,2.0,4.0,1.0,3.0,3.0
Rap/Trap,1.0,4.0,4.0,1.0,4.0,2.0,3.0,3.0
Rap/Trap,3.0,4.0,3.0,1.0,5.0,1.0,4.0,2.0
Rap/Trap,2.0,5.0,3.0,1.0,4.0,1.0,3.0,2.0
Rap/Trap,2.0,4.0,4.0,1.0,5.0,1.0,4.0,2.0
Rap/Trap,1.0,4.0,4.0,1.0,4.0,1.0,3.0,3.0
Rap/Trap,1.0,4.0,4.0,1.0,5.0,2.0,3.0,4.0
Rap/Trap,1.0,3.0,3.0,1.0,5.0,2.0,4.0,4.0
Rap/Trap,1.0,4.0,5.0,5.0,4.0,1.0,4.0,3.0
Rap/Trap,2.0,5.0,4.0,1.0,5.0,1.0,3.0,4.0
Rap/Trap,1.0,4.0,5.0,1.0,5.0,1.0,2.0,2.0
Rap/Trap,1.0,4.0,3.0,1.0,5.0,2.0,3.0,4.0
Reggae/Reggaeton,1.0,4.0,3.0,1.0,5.0,1.0,4.0,3.0
Reggae/Reggaeton,2.0,4.0,4.0,1.0,4.0,2.0,4.0,3.0
Reggae/Reggaeton,3.0,4.0,3.0,1.0,4.0,1.0,5.0,2.0
Reggae/Reggaeton,1.0,5.0,5.0,1.0,5.0,1.0,4.0,3.0
Reggae/Reggaeton,1.0,3.0,3.0,1.0,5.0,1.0,3.0,3.0
Reggae/Reggaeton,1.0,4.0,3.0,1.0,4.0,1.0,3.0,3.0
Reggae/Reggaeton,3.0,5.0,3.0,1.0,5.0,1.0,3.0,4.0
Reggae/Reggaeton,1.0,4.0,3.0,1.0,4.0,1.0,4.0,3.0
Reggae/Reggaeton,5.0,4.0,3.0,1.0,4.0,1.0,5.0,2.0
Rock,2.0,3.0,3.0,1.0,4.0,1.0,3.0,2.0
Rock,2.0,3.0,3.0,4.0,4.0,1.0,2.0,3.0
Rock,3.0,3.0,3.0,2.0,4.0,1.0,4.0,3.0
Rock,2.0,3.0,3.0,2.0,4.0,1.0,3.0,2.0
Rock,1.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0
Rock,1.0,3.0,4.0,1.0,4.0,1.0,4.0,3.0
Rock,2.0,3.0,3.0,3.0,4.0,1.0,2.0,3.0
Rock,3.0,3.0,4.0,1.0,4.0,3.0,3.0,2.0
Rock,1.0,3.0,3.0,3.0,4.0,1.0,1.0,3.0
Rock,1.0,3.0,4.0,1.0,5.0,1.0,5.0,2.0
Rock,3.0,1.0,3.0,4.0,4.0,1.0,1.0,3.0
Rock,4.0,3.0,5.0,1.0,5.0,1.0,5.0,2.0
Rock,5.0,2.0,2.0,1.0,5.0,1.0,5.0,1.0
Rock,2.0,3.0,4.0,1.0,4.0,1.0,4.0,2.0
Rock,1.0,3.0,4.0,3.0,5.0,1.0,4.0,2.0
Rock,3.0,2.0,3.0,1.0,4.0,1.0,2.0,1.0
Rock,1.0,2.0,3.0,4.0,4.0,1.0,1.0,3.0
Rock,2.0,3.0,4.0,1.0,5.0,1.0,4.0,2.0
Rock,3.0,3.0,2.0,1.0,4.0,1.0,2.0,2.0
Rock,1.0,3.0,4.0,4.0,4.0,1.0,5.0,3.0
Rock,2.0,3.0,4.0,2.0,4.0,1.0,3.0,2.0
Rock,1.0,3.0,5.0,1.0,4.0,1.0,4.0,2.0
Rock,4.0,3.0,3.0,1.0,4.0,1.0,4.0,3.0
Rock,3.0,3.0,4.0,1.0,4.0,2.0,4.0,2.0
Rock,3.0,2.0,3.0,2.0,4.0,1.0,2.0,3.0
Rock,1.0,4.0,3.0,1.0,4.0,1.0,3.0,4.0
Rock,5.0,4.0,2.0,1.0,4.0,1.0,4.0,1.0
Rock,1.0,3.0,4.0,4.0,5.0,1.0,2.0,3.0
Rock,2.0,2.0,3.0,4.0,4.0,1.0,1.0,3.0
Rock,1.0,2.0,4.0,4.0,4.0,1.0,3.0,3.0
Rock,2.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0
Rock,2.0,3.0,4.0,2.0,4.0,1.0,4.0,3.0
Rock,4.0,3.0,5.0,4.0,4.0,1.0,5.0,3.0
Rock,3.0,3.0,3.0,4.0,4.0,1.0,2.0,2.0
Rock,4.0,3.0,5.0,1.0,5.0,1.0,5.0,1.0
Rock,1.0,3.0,4.0,3.0,4.0,1.0,3.0,2.0
Rock,3.0,3.0,4.0,1.0,4.0,1.0,4.0,2.0
Rock,3.0,5.0,2.0,1.0,4.0,1.0,5.0,3.0
Rock,3.0,2.0,3.0,4.0,4.0,1.0,1.0,3.0
Rock,1.0,3.0,5.0,1.0,5.0,1.0,2.0,1.0
Rock,4.0,4.0,4.0,1.0,4.0,1.0,4.0,2.0
Rock,3.0,3.0,4.0,2.0,4.0,1.0,4.0,2.0
Rock,2.0,4.0,3.0,1.0,4.0,1.0,5.0,2.0
Rock,4.0,3.0,4.0,1.0,4.0,1.0,5.0,2.0
Rock,4.0,3.0,2.0,1.0,4.0,1.0,3.0,1.0
Rock,3.0,3.0,4.0,1.0,4.0,1.0,4.0,3.0
Rock,2.0,2.0,3.0,3.0,4.0,1.0,2.0,2.0
Rock,1.0,3.0,5.0,1.0,4.0,1.0,2.0,2.0
Rock,3.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0
Rock,4.0,4.0,4.0,1.0,5.0,1.0,5.0,1.0
Rock,1.0,3.0,5.0,1.0,5.0,2.0,3.0,3.0
Rock,2.0,3.0,5.0,1.0,4.0,1.0,4.0,2.0
Rock,1.0,2.0,5.0,5.0,5.0,1.0,1.0,3.0
Rock,1.0,3.0,4.0,1.0,5.0,1.0,3.0,2.0
Rock,1.0,4.0,4.0,1.0,5.0,1.0,4.0,2.0
Rock,3.0,3.0,5.0,1.0,5.0,5.0,2.0,3.0
Techno,1.0,4.0,3.0,3.0,4.0,1.0,5.0,2.0
Techno,1.0,3.0,4.0,3.0,5.0,1.0,3.0,3.0
Techno,1.0,4.0,4.0,5.0,5.0,1.0,2.0,1.0
Techno,1.0,5.0,4.0,5.0,5.0,1.0,4.0,1.0
Techno,1.0,4.0,4.0,5.0,4.0,1.0,2.0,3.0
Techno,3.0,3.0,2.0,4.0,3.0,1.0,2.0,3.0
Techno,1.0,4.0,5.0,2.0,5.0,1.0,3.0,3.0
Techno,1.0,4.0,5.0,2.0,4.0,1.0,4.0,3.0
Techno,3.0,4.0,3.0,4.0,4.0,1.0,2.0,3.0
Techno,1.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0
Techno,1.0,5.0,4.0,5.0,5.0,1.0,3.0,1.0
Techno,1.0,4.0,4.0,4.0,4.0,1.0,3.0,2.0
Techno,3.0,4.0,4.0,1.0,5.0,1.0,4.0,2.0
